request_id,date,sector,client_request,commercial_proposal,budget_est,status
R-1196,2023-09-03,Marketing,Looking for a long-term partner for Email funnel.,"Professional Email funnel delivery. High quality, quick turnaround.",$2995,Pending
R-1197,2023-11-05,Translation,Urgent: Legal contract translation project. Budget is flexible.,"Professional Legal contract translation delivery. High quality, quick turnaround.",$2930,Accepted
R-1198,2023-09-25,Data Science,Looking for a long-term partner for PowerBI dashboard.,"Professional PowerBI dashboard delivery. High quality, quick turnaround.",$3712,Negotiating
R-1199,2023-11-05,Marketing,I need a SMM strategy for my retail store.,"Professional SMM strategy delivery. High quality, quick turnaround.",$1679,Pending
R-1200,2023-11-15,IT Security,Looking for a long-term partner for Penetration test.,"Professional Penetration test delivery. High quality, quick turnaround.",$1499,Accepted
R-1201,2023-10-08,SEO,Looking for a long-term partner for Backlink strategy.,"Professional Backlink strategy delivery. High quality, quick turnaround.",$344,Accepted
R-1202,2023-11-02,Data Science,Can you help with PowerBI dashboard? We are a startup.,"Professional PowerBI dashboard delivery. High quality, quick turnaround.",$275,Pending
R-1203,2023-11-20,Mobile App,Looking for a long-term partner for iOS MVP.,"Professional iOS MVP delivery. High quality, quick turnaround.",$1758,Pending
R-1204,2023-09-06,Web Dev,Can you help with E-commerce store? We are a startup.,"Professional E-commerce store delivery. High quality, quick turnaround.",$3324,Negotiating
R-1205,2023-10-13,IT Security,Urgent: SSL configuration project. Budget is flexible.,"Professional SSL configuration delivery. High quality, quick turnaround.",$173,Accepted
R-1206,2023-11-16,SEO,Can you help with Backlink strategy? We are a startup.,"Professional Backlink strategy delivery. High quality, quick turnaround.",$4596,Rejected
R-1207,2023-10-12,Web Dev,I need a React dashboard for my bakery.,"Professional React dashboard delivery. High quality, quick turnaround.",$1182,Accepted
R-1208,2023-09-10,Design,I need a Brand identity for my tech startup.,"Professional Brand identity delivery. High quality, quick turnaround.",$3483,Negotiating
R-1209,2023-09-23,Web Dev,Urgent: React dashboard project. Budget is flexible.,"Professional React dashboard delivery. High quality, quick turnaround.",$1521,Negotiating
R-1210,2023-10-24,Data Science,Can you help with PowerBI dashboard? We are a startup.,"Professional PowerBI dashboard delivery. High quality, quick turnaround.",$2308,Pending
R-1211,2023-09-03,Marketing,I need a Influencer research for my SaaS.,"Professional Influencer research delivery. High quality, quick turnaround.",$1344,Negotiating
R-1212,2023-11-29,IT Security,Urgent: Malware removal project. Budget is flexible.,"Professional Malware removal delivery. High quality, quick turnaround.",$3746,Rejected
R-1213,2023-11-29,Marketing,Need a quote for Google Ads setup by tomorrow.,"Professional Google Ads setup delivery. High quality, quick turnaround.",$2536,Rejected
R-1214,2023-09-27,SEO,I need a Backlink strategy for my retail store.,"Professional Backlink strategy delivery. High quality, quick turnaround.",$3407,Negotiating
R-1215,2023-11-29,Mobile App,Can you help with iOS MVP? We are a startup.,"Professional iOS MVP delivery. High quality, quick turnaround.",$2124,Rejected
R-1216,2023-11-27,SEO,Looking for a long-term partner for Backlink strategy.,"Professional Backlink strategy delivery. High quality, quick turnaround.",$304,Accepted
R-1217,2023-11-18,Marketing,Need a quote for Email funnel by tomorrow.,"Professional Email funnel delivery. High quality, quick turnaround.",$4411,Rejected
R-1218,2023-09-29,Translation,Need a quote for Website proofreading by tomorrow.,"Professional Website proofreading delivery. High quality, quick turnaround.",$3821,Negotiating
R-1219,2023-10-18,Design,Urgent: Logo redesign project. Budget is flexible.,"Professional Logo redesign delivery. High quality, quick turnaround.",$2277,Accepted
R-1220,2023-10-28,Web Dev,Need a quote for Landing page by tomorrow.,"Professional Landing page delivery. High quality, quick turnaround.",$3038,Rejected
R-1221,2023-11-03,Data Science,Need a quote for Predictive model by tomorrow.,"Professional Predictive model delivery. High quality, quick turnaround.",$4790,Accepted
R-1222,2023-09-11,SEO,Need a quote for Technical audit by tomorrow.,"Professional Technical audit delivery. High quality, quick turnaround.",$692,Pending
R-1223,2023-10-30,Web Dev,Looking for a long-term partner for WordPress site.,"Professional WordPress site delivery. High quality, quick turnaround.",$4494,Negotiating
R-1224,2023-11-24,SEO,Urgent: Keyword research project. Budget is flexible.,"Professional Keyword research delivery. High quality, quick turnaround.",$1588,Accepted
R-1225,2023-09-07,Web Dev,Urgent: E-commerce store project. Budget is flexible.,"Professional E-commerce store delivery. High quality, quick turnaround.",$1458,Accepted
R-1226,2023-09-17,SEO,Can you help with Backlink strategy? We are a startup.,"Professional Backlink strategy delivery. High quality, quick turnaround.",$806,Rejected
R-1227,2023-09-14,Marketing,I need a Influencer research for my tech startup.,"Professional Influencer research delivery. High quality, quick turnaround.",$4913,Negotiating
R-1228,2023-11-25,Translation,Looking for a long-term partner for Legal contract translation.,"Professional Legal contract translation delivery. High quality, quick turnaround.",$4176,Negotiating
R-1229,2023-10-06,Mobile App,Urgent: iOS MVP project. Budget is flexible.,"Professional iOS MVP delivery. High quality, quick turnaround.",$2384,Negotiating
R-1230,2023-10-12,Data Science,Can you help with Data cleaning? We are a startup.,"Professional Data cleaning delivery. High quality, quick turnaround.",$2718,Negotiating
R-1231,2023-09-02,IT Security,Looking for a long-term partner for SSL configuration.,"Professional SSL configuration delivery. High quality, quick turnaround.",$3585,Rejected
R-1232,2023-10-02,Mobile App,Urgent: iOS MVP project. Budget is flexible.,"Professional iOS MVP delivery. High quality, quick turnaround.",$4226,Accepted
R-1233,2023-11-06,SEO,I need a Keyword research for my bakery.,"Professional Keyword research delivery. High quality, quick turnaround.",$3749,Negotiating
R-1234,2023-09-22,IT Security,Can you help with Malware removal? We are a startup.,"Professional Malware removal delivery. High quality, quick turnaround.",$2231,Pending
R-1235,2023-09-11,Data Science,Can you help with Predictive model? We are a startup.,"Professional Predictive model delivery. High quality, quick turnaround.",$2863,Accepted
R-1236,2023-10-12,Data Science,I need a PowerBI dashboard for my SaaS.,"Professional PowerBI dashboard delivery. High quality, quick turnaround.",$3644,Rejected
R-1237,2023-11-22,Data Science,I need a Predictive model for my retail store.,"Professional Predictive model delivery. High quality, quick turnaround.",$3914,Negotiating
R-1238,2023-10-30,Web Dev,Urgent: React dashboard project. Budget is flexible.,"Professional React dashboard delivery. High quality, quick turnaround.",$3772,Negotiating
R-1239,2023-10-14,Design,I need a UI/UX for mobile app for my SaaS.,"Professional UI/UX for mobile app delivery. High quality, quick turnaround.",$4456,Negotiating
R-1240,2023-11-23,Web Dev,Need a quote for React dashboard by tomorrow.,"Professional React dashboard delivery. High quality, quick turnaround.",$4917,Negotiating
R-1241,2023-09-19,IT Security,Can you help with Malware removal? We are a startup.,"Professional Malware removal delivery. High quality, quick turnaround.",$1398,Pending
R-1242,2023-11-07,Web Dev,Urgent: Landing page project. Budget is flexible.,"Professional Landing page delivery. High quality, quick turnaround.",$262,Pending
R-1243,2023-09-13,Data Science,Urgent: Scraper bot project. Budget is flexible.,"Professional Scraper bot delivery. High quality, quick turnaround.",$357,Pending
R-1244,2023-11-18,Translation,Looking for a long-term partner for Website proofreading.,"Professional Website proofreading delivery. High quality, quick turnaround.",$2943,Accepted
R-1245,2023-09-15,Data Science,Looking for a long-term partner for Data cleaning.,"Professional Data cleaning delivery. High quality, quick turnaround.",$997,Accepted
R-1246,2023-11-28,Translation,Looking for a long-term partner for Website proofreading.,"Professional Website proofreading delivery. High quality, quick turnaround.",$819,Accepted
R-1247,2023-09-04,Mobile App,Looking for a long-term partner for iOS MVP.,"Professional iOS MVP delivery. High quality, quick turnaround.",$3291,Rejected
R-1248,2023-10-26,Mobile App,I need a Android bug fix for my law firm.,"Professional Android bug fix delivery. High quality, quick turnaround.",$636,Pending
R-1249,2023-11-07,Marketing,I need a Email funnel for my retail store.,"Professional Email funnel delivery. High quality, quick turnaround.",$4951,Negotiating
R-1250,2023-10-11,Mobile App,Looking for a long-term partner for Flutter cross-platform app.,"Professional Flutter cross-platform app delivery. High quality, quick turnaround.",$4266,Negotiating
R-1251,2023-09-01,IT Security,Can you help with Penetration test? We are a startup.,"Professional Penetration test delivery. High quality, quick turnaround.",$2290,Pending
R-1252,2023-09-23,SEO,Need a quote for Backlink strategy by tomorrow.,"Professional Backlink strategy delivery. High quality, quick turnaround.",$993,Negotiating
R-1253,2023-11-09,Translation,Urgent: Website proofreading project. Budget is flexible.,"Professional Website proofreading delivery. High quality, quick turnaround.",$2457,Rejected
R-1254,2023-11-17,Design,Need a quote for UI/UX for mobile app by tomorrow.,"Professional UI/UX for mobile app delivery. High quality, quick turnaround.",$554,Accepted
R-1255,2023-11-23,Data Science,Urgent: Scraper bot project. Budget is flexible.,"Professional Scraper bot delivery. High quality, quick turnaround.",$280,Rejected
R-1256,2023-09-01,Mobile App,Looking for a long-term partner for Flutter cross-platform app.,"Professional Flutter cross-platform app delivery. High quality, quick turnaround.",$4958,Negotiating
R-1257,2023-11-13,IT Security,Looking for a long-term partner for Malware removal.,"Professional Malware removal delivery. High quality, quick turnaround.",$2103,Rejected
R-1258,2023-10-29,SEO,Need a quote for Backlink strategy by tomorrow.,"Professional Backlink strategy delivery. High quality, quick turnaround.",$4389,Negotiating
R-1259,2023-11-10,Web Dev,I need a WordPress site for my tech startup.,"Professional WordPress site delivery. High quality, quick turnaround.",$3234,Rejected
R-1260,2023-11-03,Design,Looking for a long-term partner for Vector illustrations.,"Professional Vector illustrations delivery. High quality, quick turnaround.",$3469,Accepted
R-1261,2023-10-30,Mobile App,Need a quote for Flutter cross-platform app by tomorrow.,"Professional Flutter cross-platform app delivery. High quality, quick turnaround.",$4315,Rejected
R-1262,2023-10-08,Design,I need a UI/UX for mobile app for my bakery.,"Professional UI/UX for mobile app delivery. High quality, quick turnaround.",$68,Pending
R-1263,2023-10-11,Marketing,Urgent: SMM strategy project. Budget is flexible.,"Professional SMM strategy delivery. High quality, quick turnaround.",$210,Accepted
R-1264,2023-09-30,Design,Looking for a long-term partner for Logo redesign.,"Professional Logo redesign delivery. High quality, quick turnaround.",$3903,Rejected
R-1265,2023-09-27,IT Security,Looking for a long-term partner for Malware removal.,"Professional Malware removal delivery. High quality, quick turnaround.",$4104,Accepted
R-1266,2023-09-02,SEO,Can you help with Backlink strategy? We are a startup.,"Professional Backlink strategy delivery. High quality, quick turnaround.",$1971,Accepted
R-1267,2023-10-25,Mobile App,Urgent: Flutter cross-platform app project. Budget is flexible.,"Professional Flutter cross-platform app delivery. High quality, quick turnaround.",$1043,Accepted
R-1268,2023-09-27,SEO,I need a Backlink strategy for my retail store.,"Professional Backlink strategy delivery. High quality, quick turnaround.",$1718,Rejected
R-1269,2023-11-03,Design,Looking for a long-term partner for UI/UX for mobile app.,"Professional UI/UX for mobile app delivery. High quality, quick turnaround.",$4521,Negotiating
R-1270,2023-09-18,Data Science,Need a quote for Scraper bot by tomorrow.,"Professional Scraper bot delivery. High quality, quick turnaround.",$2424,Accepted
R-1271,2023-09-10,Design,Need a quote for UI/UX for mobile app by tomorrow.,"Professional UI/UX for mobile app delivery. High quality, quick turnaround.",$1808,Accepted
R-1272,2023-10-25,SEO,I need a Backlink strategy for my tech startup.,"Professional Backlink strategy delivery. High quality, quick turnaround.",$4266,Negotiating
R-1273,2023-09-28,IT Security,Looking for a long-term partner for Penetration test.,"Professional Penetration test delivery. High quality, quick turnaround.",$4789,Negotiating
R-1274,2023-09-29,IT Security,Can you help with Penetration test? We are a startup.,"Professional Penetration test delivery. High quality, quick turnaround.",$1805,Accepted
R-1275,2023-09-22,Mobile App,Looking for a long-term partner for Flutter cross-platform app.,"Professional Flutter cross-platform app delivery. High quality, quick turnaround.",$1400,Rejected
R-1276,2023-09-15,Web Dev,Urgent: WordPress site project. Budget is flexible.,"Professional WordPress site delivery. High quality, quick turnaround.",$3478,Negotiating
R-1277,2023-09-21,Data Science,Looking for a long-term partner for Data cleaning.,"Professional Data cleaning delivery. High quality, quick turnaround.",$1778,Accepted
R-1278,2023-11-06,Mobile App,Urgent: Android bug fix project. Budget is flexible.,"Professional Android bug fix delivery. High quality, quick turnaround.",$818,Accepted
R-1279,2023-11-23,IT Security,Need a quote for SSL configuration by tomorrow.,"Professional SSL configuration delivery. High quality, quick turnaround.",$924,Pending
R-1280,2023-10-27,Translation,Looking for a long-term partner for Website proofreading.,"Professional Website proofreading delivery. High quality, quick turnaround.",$4676,Negotiating
R-1281,2023-10-06,Design,I need a Logo redesign for my bakery.,"Professional Logo redesign delivery. High quality, quick turnaround.",$2836,Pending
R-1282,2023-09-27,Mobile App,Looking for a long-term partner for iOS MVP.,"Professional iOS MVP delivery. High quality, quick turnaround.",$2978,Negotiating
R-1283,2023-10-31,Translation,Looking for a long-term partner for Website proofreading.,"Professional Website proofreading delivery. High quality, quick turnaround.",$1034,Accepted
R-1284,2023-09-29,Mobile App,Looking for a long-term partner for Flutter cross-platform app.,"Professional Flutter cross-platform app delivery. High quality, quick turnaround.",$371,Accepted
R-1285,2023-10-19,Data Science,Need a quote for Scraper bot by tomorrow.,"Professional Scraper bot delivery. High quality, quick turnaround.",$4688,Rejected
R-1286,2023-11-04,Design,Need a quote for Vector illustrations by tomorrow.,"Professional Vector illustrations delivery. High quality, quick turnaround.",$3918,Negotiating
R-1287,2023-10-02,Marketing,Looking for a long-term partner for SMM strategy.,"Professional SMM strategy delivery. High quality, quick turnaround.",$1643,Pending
R-1288,2023-10-12,Translation,Urgent: Website proofreading project. Budget is flexible.,"Professional Website proofreading delivery. High quality, quick turnaround.",$3486,Negotiating
R-1289,2023-11-26,Mobile App,Need a quote for iOS MVP by tomorrow.,"Professional iOS MVP delivery. High quality, quick turnaround.",$4568,Negotiating
R-1290,2023-10-07,Mobile App,Need a quote for iOS MVP by tomorrow.,"Professional iOS MVP delivery. High quality, quick turnaround.",$937,Rejected
R-1291,2023-11-28,Design,I need a Brand identity for my bakery.,"Professional Brand identity delivery. High quality, quick turnaround.",$4067,Accepted
R-1292,2023-10-27,Marketing,Can you help with Email funnel? We are a startup.,"Professional Email funnel delivery. High quality, quick turnaround.",$303,Rejected
R-1293,2023-11-17,Translation,I need a App localization for my bakery.,"Professional App localization delivery. High quality, quick turnaround.",$1191,Accepted
R-1294,2023-10-02,SEO,I need a Keyword research for my law firm.,"Professional Keyword research delivery. High quality, quick turnaround.",$3287,Negotiating
R-1295,2023-09-07,IT Security,Urgent: Malware removal project. Budget is flexible.,"Professional Malware removal delivery. High quality, quick turnaround.",$3753,Accepted
R-1296,2023-09-26,Data Science,Need a quote for Scraper bot by tomorrow.,"Professional Scraper bot delivery. High quality, quick turnaround.",$3581,Negotiating
R-1297,2023-09-14,Translation,I need a App localization for my tech startup.,"Professional App localization delivery. High quality, quick turnaround.",$1451,Negotiating
R-1298,2023-10-23,Data Science,I need a Scraper bot for my SaaS.,"Professional Scraper bot delivery. High quality, quick turnaround.",$1957,Accepted
R-1299,2023-09-21,Web Dev,I need a E-commerce store for my retail store.,"Professional E-commerce store delivery. High quality, quick turnaround.",$3766,Rejected
R-1300,2023-11-27,SEO,Urgent: Keyword research project. Budget is flexible.,"Professional Keyword research delivery. High quality, quick turnaround.",$1143,Accepted
R-1301,2023-11-23,IT Security,Need a quote for Penetration test by tomorrow.,"Professional Penetration test delivery. High quality, quick turnaround.",$939,Accepted
R-1302,2023-09-25,Marketing,I need a Email funnel for my retail store.,"Professional Email funnel delivery. High quality, quick turnaround.",$4969,Negotiating
R-1303,2023-10-26,IT Security,I need a Malware removal for my SaaS.,"Professional Malware removal delivery. High quality, quick turnaround.",$2025,Negotiating
R-1304,2023-11-23,Translation,Looking for a long-term partner for Legal contract translation.,"Professional Legal contract translation delivery. High quality, quick turnaround.",$4050,Accepted
R-1305,2023-11-11,Web Dev,Looking for a long-term partner for E-commerce store.,"Professional E-commerce store delivery. High quality, quick turnaround.",$3190,Accepted
R-1306,2023-09-23,SEO,I need a Keyword research for my SaaS.,"Professional Keyword research delivery. High quality, quick turnaround.",$2634,Rejected
R-1307,2023-11-18,Design,Looking for a long-term partner for Brand identity.,"Professional Brand identity delivery. High quality, quick turnaround.",$318,Accepted
R-1308,2023-09-24,Translation,Can you help with Legal contract translation? We are a startup.,"Professional Legal contract translation delivery. High quality, quick turnaround.",$1790,Pending
R-1309,2023-09-29,Marketing,Can you help with Influencer research? We are a startup.,"Professional Influencer research delivery. High quality, quick turnaround.",$4883,Accepted
R-1310,2023-09-23,Mobile App,Urgent: Android bug fix project. Budget is flexible.,"Professional Android bug fix delivery. High quality, quick turnaround.",$701,Pending
R-1311,2023-11-12,Data Science,I need a Scraper bot for my bakery.,"Professional Scraper bot delivery. High quality, quick turnaround.",$4615,Rejected
R-1312,2023-10-26,Marketing,Looking for a long-term partner for Influencer research.,"Professional Influencer research delivery. High quality, quick turnaround.",$4883,Rejected
R-1313,2023-11-19,Mobile App,Can you help with Flutter cross-platform app? We are a startup.,"Professional Flutter cross-platform app delivery. High quality, quick turnaround.",$4232,Negotiating
R-1314,2023-09-24,Translation,Need a quote for App localization by tomorrow.,"Professional App localization delivery. High quality, quick turnaround.",$4610,Rejected
R-1315,2023-09-11,IT Security,Can you help with Malware removal? We are a startup.,"Professional Malware removal delivery. High quality, quick turnaround.",$3670,Negotiating
R-1316,2023-11-21,Data Science,I need a Data cleaning for my bakery.,"Professional Data cleaning delivery. High quality, quick turnaround.",$1679,Negotiating
R-1317,2023-09-27,Marketing,Need a quote for Influencer research by tomorrow.,"Professional Influencer research delivery. High quality, quick turnaround.",$703,Negotiating
R-1318,2023-10-09,Translation,Urgent: App localization project. Budget is flexible.,"Professional App localization delivery. High quality, quick turnaround.",$508,Pending
R-1319,2023-09-27,IT Security,Need a quote for Penetration test by tomorrow.,"Professional Penetration test delivery. High quality, quick turnaround.",$3520,Negotiating
R-1320,2023-09-17,IT Security,Need a quote for SSL configuration by tomorrow.,"Professional SSL configuration delivery. High quality, quick turnaround.",$2106,Rejected
R-1321,2023-10-20,Mobile App,Can you help with Flutter cross-platform app? We are a startup.,"Professional Flutter cross-platform app delivery. High quality, quick turnaround.",$3619,Rejected
R-1322,2023-09-02,Data Science,I need a Scraper bot for my retail store.,"Professional Scraper bot delivery. High quality, quick turnaround.",$843,Accepted
R-1323,2023-11-22,SEO,Looking for a long-term partner for Technical audit.,"Professional Technical audit delivery. High quality, quick turnaround.",$4384,Accepted
R-1324,2023-11-14,Mobile App,Need a quote for iOS MVP by tomorrow.,"Professional iOS MVP delivery. High quality, quick turnaround.",$2071,Rejected
R-1325,2023-09-16,Translation,Can you help with App localization? We are a startup.,"Professional App localization delivery. High quality, quick turnaround.",$746,Pending
R-1326,2023-11-10,Design,Looking for a long-term partner for Vector illustrations.,"Professional Vector illustrations delivery. High quality, quick turnaround.",$3005,Accepted
R-1327,2023-10-08,Translation,Need a quote for Legal contract translation by tomorrow.,"Professional Legal contract translation delivery. High quality, quick turnaround.",$3576,Negotiating
R-1328,2023-11-28,Marketing,Looking for a long-term partner for SMM strategy.,"Professional SMM strategy delivery. High quality, quick turnaround.",$1764,Pending
R-1329,2023-11-02,Web Dev,Can you help with WordPress site? We are a startup.,"Professional WordPress site delivery. High quality, quick turnaround.",$1126,Pending
R-1330,2023-10-19,Design,Urgent: Logo redesign project. Budget is flexible.,"Professional Logo redesign delivery. High quality, quick turnaround.",$513,Accepted
R-1331,2023-11-07,Data Science,Can you help with PowerBI dashboard? We are a startup.,"Professional PowerBI dashboard delivery. High quality, quick turnaround.",$1374,Rejected
R-1332,2023-11-28,Marketing,Need a quote for SMM strategy by tomorrow.,"Professional SMM strategy delivery. High quality, quick turnaround.",$1667,Pending
R-1333,2023-11-19,IT Security,Can you help with Malware removal? We are a startup.,"Professional Malware removal delivery. High quality, quick turnaround.",$3591,Negotiating
R-1334,2023-10-02,Translation,I need a Legal contract translation for my retail store.,"Professional Legal contract translation delivery. High quality, quick turnaround.",$2594,Negotiating
R-1335,2023-11-19,SEO,Can you help with Keyword research? We are a startup.,"Professional Keyword research delivery. High quality, quick turnaround.",$702,Accepted
R-1336,2023-09-13,SEO,Can you help with Backlink strategy? We are a startup.,"Professional Backlink strategy delivery. High quality, quick turnaround.",$4432,Accepted
R-1337,2023-09-23,Marketing,Looking for a long-term partner for SMM strategy.,"Professional SMM strategy delivery. High quality, quick turnaround.",$4683,Negotiating
R-1338,2023-11-02,Translation,Looking for a long-term partner for Website proofreading.,"Professional Website proofreading delivery. High quality, quick turnaround.",$2266,Accepted
R-1339,2023-11-25,IT Security,I need a Malware removal for my tech startup.,"Professional Malware removal delivery. High quality, quick turnaround.",$4830,Negotiating
R-1340,2023-11-16,SEO,Looking for a long-term partner for Technical audit.,"Professional Technical audit delivery. High quality, quick turnaround.",$185,Accepted
R-1341,2023-11-25,Translation,I need a Legal contract translation for my bakery.,"Professional Legal contract translation delivery. High quality, quick turnaround.",$4351,Negotiating
R-1342,2023-11-27,SEO,Can you help with Keyword research? We are a startup.,"Professional Keyword research delivery. High quality, quick turnaround.",$4164,Accepted
R-1343,2023-11-25,Translation,Looking for a long-term partner for Legal contract translation.,"Professional Legal contract translation delivery. High quality, quick turnaround.",$4689,Accepted
R-1344,2023-11-27,Marketing,Looking for a long-term partner for Google Ads setup.,"Professional Google Ads setup delivery. High quality, quick turnaround.",$4695,Negotiating
R-1345,2023-11-15,Web Dev,I need a Landing page for my law firm.,"Professional Landing page delivery. High quality, quick turnaround.",$4151,Negotiating
R-1346,2023-10-21,Mobile App,I need a iOS MVP for my law firm.,"Professional iOS MVP delivery. High quality, quick turnaround.",$1357,Pending
R-1347,2023-11-18,SEO,Need a quote for Keyword research by tomorrow.,"Professional Keyword research delivery. High quality, quick turnaround.",$3901,Accepted
R-1348,2023-11-16,Web Dev,Looking for a long-term partner for React dashboard.,"Professional React dashboard delivery. High quality, quick turnaround.",$4553,Negotiating
R-1349,2023-11-23,Web Dev,I need a Landing page for my SaaS.,"Professional Landing page delivery. High quality, quick turnaround.",$4555,Negotiating
R-1350,2023-11-06,Mobile App,Need a quote for Android bug fix by tomorrow.,"Professional Android bug fix delivery. High quality, quick turnaround.",$3004,Accepted
R-1351,2023-11-11,Design,Urgent: Logo redesign project. Budget is flexible.,"Professional Logo redesign delivery. High quality, quick turnaround.",$3919,Negotiating
R-1352,2023-09-20,SEO,Looking for a long-term partner for Keyword research.,"Professional Keyword research delivery. High quality, quick turnaround.",$968,Accepted
R-1353,2023-11-25,Design,I need a UI/UX for mobile app for my tech startup.,"Professional UI/UX for mobile app delivery. High quality, quick turnaround.",$4752,Negotiating
R-1354,2023-10-24,Data Science,Looking for a long-term partner for PowerBI dashboard.,"Professional PowerBI dashboard delivery. High quality, quick turnaround.",$464,Accepted
R-1355,2023-10-12,Mobile App,Can you help with Flutter cross-platform app? We are a startup.,"Professional Flutter cross-platform app delivery. High quality, quick turnaround.",$2248,Accepted
R-1356,2023-10-10,Mobile App,Need a quote for iOS MVP by tomorrow.,"Professional iOS MVP delivery. High quality, quick turnaround.",$2752,Pending
R-1357,2023-09-20,Design,Urgent: UI/UX for mobile app project. Budget is flexible.,"Professional UI/UX for mobile app delivery. High quality, quick turnaround.",$119,Accepted
R-1358,2023-09-14,Design,Need a quote for Vector illustrations by tomorrow.,"Professional Vector illustrations delivery. High quality, quick turnaround.",$1937,Accepted
R-1359,2023-11-06,Mobile App,I need a Android bug fix for my SaaS.,"Professional Android bug fix delivery. High quality, quick turnaround.",$2951,Accepted
R-1360,2023-09-02,SEO,Urgent: Keyword research project. Budget is flexible.,"Professional Keyword research delivery. High quality, quick turnaround.",$2602,Pending
R-1361,2023-11-20,SEO,Need a quote for Technical audit by tomorrow.,"Professional Technical audit delivery. High quality, quick turnaround.",$248,Accepted
R-1362,2023-10-10,IT Security,Can you help with Malware removal? We are a startup.,"Professional Malware removal delivery. High quality, quick turnaround.",$2887,Pending
R-1363,2023-09-22,Translation,Need a quote for App localization by tomorrow.,"Professional App localization delivery. High quality, quick turnaround.",$1830,Negotiating
R-1364,2023-10-31,SEO,Urgent: Backlink strategy project. Budget is flexible.,"Professional Backlink strategy delivery. High quality, quick turnaround.",$417,Accepted
R-1365,2023-09-06,Mobile App,Looking for a long-term partner for Android bug fix.,"Professional Android bug fix delivery. High quality, quick turnaround.",$3512,Rejected
R-1366,2023-09-16,Data Science,I need a Data cleaning for my retail store.,"Professional Data cleaning delivery. High quality, quick turnaround.",$428,Accepted
R-1367,2023-10-04,Data Science,I need a PowerBI dashboard for my law firm.,"Professional PowerBI dashboard delivery. High quality, quick turnaround.",$3380,Negotiating
R-1368,2023-09-30,IT Security,I need a Malware removal for my tech startup.,"Professional Malware removal delivery. High quality, quick turnaround.",$170,Accepted
R-1369,2023-10-20,Marketing,I need a Google Ads setup for my bakery.,"Professional Google Ads setup delivery. High quality, quick turnaround.",$2993,Rejected
R-1370,2023-10-11,Translation,Need a quote for Website proofreading by tomorrow.,"Professional Website proofreading delivery. High quality, quick turnaround.",$4310,Negotiating
R-1371,2023-11-06,Mobile App,Need a quote for iOS MVP by tomorrow.,"Professional iOS MVP delivery. High quality, quick turnaround.",$1795,Negotiating
R-1372,2023-11-01,Mobile App,Can you help with Flutter cross-platform app? We are a startup.,"Professional Flutter cross-platform app delivery. High quality, quick turnaround.",$4644,Rejected
R-1373,2023-09-30,SEO,Can you help with Keyword research? We are a startup.,"Professional Keyword research delivery. High quality, quick turnaround.",$858,Negotiating
R-1374,2023-10-19,Web Dev,Need a quote for WordPress site by tomorrow.,"Professional WordPress site delivery. High quality, quick turnaround.",$4920,Rejected
R-1375,2023-10-03,Design,Urgent: UI/UX for mobile app project. Budget is flexible.,"Professional UI/UX for mobile app delivery. High quality, quick turnaround.",$3804,Negotiating
R-1376,2023-11-06,SEO,Urgent: Backlink strategy project. Budget is flexible.,"Professional Backlink strategy delivery. High quality, quick turnaround.",$4465,Rejected
R-1377,2023-09-13,Translation,Need a quote for Legal contract translation by tomorrow.,"Professional Legal contract translation delivery. High quality, quick turnaround.",$2648,Accepted
R-1378,2023-11-23,Web Dev,Looking for a long-term partner for React dashboard.,"Professional React dashboard delivery. High quality, quick turnaround.",$3386,Accepted
R-1379,2023-11-04,Marketing,Looking for a long-term partner for Influencer research.,"Professional Influencer research delivery. High quality, quick turnaround.",$1021,Pending
R-1380,2023-10-15,Translation,Can you help with Legal contract translation? We are a startup.,"Professional Legal contract translation delivery. High quality, quick turnaround.",$1676,Accepted
R-1381,2023-09-15,Design,Urgent: Logo redesign project. Budget is flexible.,"Professional Logo redesign delivery. High quality, quick turnaround.",$132,Accepted
R-1382,2023-11-12,Translation,Need a quote for Website proofreading by tomorrow.,"Professional Website proofreading delivery. High quality, quick turnaround.",$4033,Negotiating
R-1383,2023-09-05,SEO,I need a Technical audit for my retail store.,"Professional Technical audit delivery. High quality, quick turnaround.",$1834,Negotiating
R-1384,2023-09-04,Design,Need a quote for Brand identity by tomorrow.,"Professional Brand identity delivery. High quality, quick turnaround.",$756,Pending
R-1385,2023-11-15,IT Security,Urgent: Penetration test project. Budget is flexible.,"Professional Penetration test delivery. High quality, quick turnaround.",$925,Pending
R-1386,2023-11-03,Data Science,Need a quote for PowerBI dashboard by tomorrow.,"Professional PowerBI dashboard delivery. High quality, quick turnaround.",$3765,Rejected
R-1387,2023-10-04,Translation,Can you help with Legal contract translation? We are a startup.,"Professional Legal contract translation delivery. High quality, quick turnaround.",$1441,Accepted
R-1388,2023-10-25,Web Dev,Can you help with Landing page? We are a startup.,"Professional Landing page delivery. High quality, quick turnaround.",$187,Accepted
R-1389,2023-10-14,SEO,Looking for a long-term partner for Technical audit.,"Professional Technical audit delivery. High quality, quick turnaround.",$2284,Accepted
R-1390,2023-10-27,IT Security,Urgent: Penetration test project. Budget is flexible.,"Professional Penetration test delivery. High quality, quick turnaround.",$4795,Accepted
R-1391,2023-10-18,Web Dev,Can you help with Landing page? We are a startup.,"Professional Landing page delivery. High quality, quick turnaround.",$4148,Negotiating
